id,name,type,address,category,latitude,longitude,distanceMeters,sequence,description,source_row
B0LU1ZFVHE,蔚景云汽车充电站(茂能石油运营站),汽车服务;充电站;充电站,铁门镇茂能石油好嗨油加油站,新能源重卡充电站,34.7269038407898,112.06931336013794,829,1,3-5家，蔚景云充电站、星星充电、特来电充电,4
B0L0NPR4JP,蔚景云汽车充电站(茂能石油重卡超充站),汽车服务;充电站;充电站,铁门镇茂能石油好嗨油加油站,新能源重卡充电站,34.7269038407898,112.06931336013794,829,2,3-5家，蔚景云充电站、星星充电、特来电充电,4
B0LRN1LQG2,茂能重卡快速充电站,生活服务;生活服务场所;生活服务场所,铁门镇涧川大道与香江路交叉口,新能源重卡充电站,34.726818287658695,112.06981769256592,846,3,3-5家，蔚景云充电站、星星充电、特来电充电,4
B0L3GDHPEW,重卡充电站,汽车服务;充电站;充电站,铁门镇经一路,新能源重卡充电站,34.74647348663331,112.06645236285397,1366,4,3-5家，蔚景云充电站、星星充电、特来电充电,4
B0K2XDC0OZ,蔚景云汽车充电站(庙军庙头重卡充电站),汽车服务;充电站;充电站,铁门镇中国石油新安第2加油站,新能源重卡充电站,34.74720094303895,112.06633046775818,1448,5,3-5家，蔚景云充电站、星星充电、特来电充电,4
B0L2RSLXBA,卓栾重卡充电站,汽车服务;充电站;充电站,民心路13号,新能源重卡充电站,34.749635790451066,112.06477060398863,1737,6,3-5家，蔚景云充电站、星星充电、特来电充电,4
B0LUJ7AYP7,特来电汽车充电站(洛阳新安卓栾建材重卡充电站),汽车服务;充电站;专用充电站,铁门镇鼎鑫商砼有限公司,新能源重卡充电站,34.75186063650513,112.06406850997924,1992,7,3-5家，蔚景云充电站、星星充电、特来电充电,4
B0LAX14N6L,汽车充电站(昌通星星重卡充电站),汽车服务;充电站;充电站,铁门镇多力通轮胎,新能源重卡充电站,34.74789874261475,112.0467791201782,2467,8,3-5家，蔚景云充电站、星星充电、特来电充电,4
B0LKF7UB34,新电途汽车充电站(跃盛建材厂区自用),汽车服务;充电站;充电站,铁门镇盐仓村,新能源重卡充电站,34.712033839340215,112.0652408655548,2491,9,3-5家，蔚景云充电站、星星充电、特来电充电,4
B0LR05MSKW,特来电超级充电站(特来电洛阳超跃新能源科技有限公司充电站),汽车服务;充电站;专用充电站,铁门镇超达停车服务有限公司恒信化验,新能源重卡充电站,34.74778482162476,112.04588631362915,2524,10,3-5家，蔚景云充电站、星星充电、特来电充电,4
B0KK9XSBWM,蔚景云汽车充电站(硕鼎铁门重卡充电站),汽车服务;充电站;充电站,铁门镇恒信化验,新能源重卡充电站,34.747797196273815,112.04480897438047,2605,11,3-5家，蔚景云充电站、星星充电、特来电充电,4
B0K0V5HE45,汽车充电站(超达重卡充电站),汽车服务;充电站;充电站,汽车充电站(超达重卡充电站),新能源重卡充电站,34.74847179437256,112.04514208746338,2624,12,3-5家，蔚景云充电站、星星充电、特来电充电,4
B0LDD7HDI0,特来电汽车充电站(特来电洛阳新安钢厂院重卡充电站),汽车服务;充电站;专用充电站,汉关街道智鑫钢材河南兴安线材有限公司,新能源重卡充电站,34.74086133956911,112.09759527847292,2804,13,3-5家，蔚景云充电站、星星充电、特来电充电,4
B0MD95PCIO,特来电汽车充电站(特来电洛阳新安蔡庄天久重卡充电站),汽车服务;充电站;专用充电站,铁门镇G30连霍高速,新能源重卡充电站,34.75757793190003,112.03424655464173,4036,14,3-5家，蔚景云充电站、星星充电、特来电充电,4
B0KR7SJ7BL,云快充超级充电站(源远轻卡充电站),汽车服务;充电站;充电站,"东高速路口北150米,230国道东侧",新能源重卡充电站,35.73726285591127,114.65127775868224,4724,1,,5
B0LUTC6A3B,云快充超级充电站(源远重卡充电站),汽车服务;充电站;充电站,"东高速路口北150米,230国道东侧",新能源重卡充电站,35.7365676379242,114.65098840718076,4800,2,,5
B0J0CUCR7K,特来电超级充电站(特来电华久新能源重卡氢油气电站),汽车服务;充电站;充电站,中原路1号(定鼎大道与中原路交叉口西200米路北),新能源重卡充电站,34.903829022918714,112.54599984896848,586,1,特来电华久新能源,6
B0L3AUVJN9,特来电汽车充电站(济源S310坡头重卡充电站),汽车服务;充电站;充电站,坡头镇宏发路30正坡头镇第一幼儿园,新能源重卡充电站,34.92202772761536,112.52314860267644,2716,2,特来电华久新能源,6
B0LGLB6RIJ,汽车充电站(洛阳市铭鑫重卡充电站),汽车服务;充电站;充电站,人民路160号,新能源重卡充电站,34.676137552169806,112.81153346119687,282,1,星星充电偃师区通达电缆重卡充电站,7
B0KKT1SJH9,星星充电汽车充电站(铭鑫重卡充电站),汽车服务;充电站;充电站,顾县镇539省道与南环路交叉口向南100米路西,新能源重卡充电站,34.67344402354431,112.81209377726744,372,2,星星充电偃师区通达电缆重卡充电站,7
B0MAO5J345,云快充超级充电站(洛阳优能充电站),汽车服务;充电站;充电站,顾县镇曲家寨村口向西50米路南(非凡电缆门口),新能源重卡充电站,34.666245819290154,112.79312612617493,1734,3,星星充电偃师区通达电缆重卡充电站,7
B0M6S61OIO,云快充汽车充电站(回郭镇恒安快速充电站),汽车服务;充电站;充电站,人民路与东阁街交叉口西140米,新能源重卡充电站,34.674006911544794,112.84767948814394,3569,4,星星充电偃师区通达电缆重卡充电站,7
B0MBF78L0P,启充云汽车充电站(尚義快充),汽车服务;充电站;充电站,伊洛街道建业森林半岛27幢102、202号,新能源重卡充电站,34.70340811785889,112.78381140008544,3878,5,星星充电偃师区通达电缆重卡充电站,7
B0L07G13ZI,新电途汽车充电站(漯河筑城重卡站),汽车服务;充电站;充电站,将军路,新能源重卡充电站,33.67524959965516,113.77148232200624,702,1,,9
B0MGM59BXV,新电途汽车充电站(中周宾馆重卡充电站小车禁充),汽车服务;充电站;充电站,裴城镇325省道,新能源重卡充电站,33.660374376144404,113.78461231916808,1356,2,,9
B0LUFL26CV,新电途汽车充电站(中周宾馆重卡充电站小车禁充),汽车服务;充电站;充电站,裴城镇中周宾馆充电站,新能源重卡充电站,33.65923152055359,113.7852548069,1493,3,,9
B0M69G8IFX,云快充超级充电站(宏旭公牛重卡站),汽车服务;充电站;充电站,裴城镇漯河市宏旭建材有限公司,新能源重卡充电站,33.68188716099549,113.76281940925598,1776,4,,9
B0L2O5VVKE,新电途汽车充电站(科靖重卡超充站),汽车服务;充电站;充电站,太尉镇关小寨,新能源重卡充电站,33.64519243614196,113.7353819542694,4610,5,,9
B0L32M31CO,特来电汽车充电站(漯河市政集团新店镇金顺重卡公共充电站),汽车服务;充电站;充电站,新店镇325省道,新能源重卡充电站,33.63979163067628,113.81508849456787,4969,6,,9
B0L0HZPHCL,惠利充汽车充电站(安阳林州星程光储充重卡超级充电站),汽车服务;充电站;充电站,横水镇德宁保温建材,新能源重卡充电站,36.06184360807801,113.89172073051452,465,1,,15
B0LDD7HDHY,特来电汽车充电站(特来电安阳林州星程光储充重卡超级充电站),汽车服务;充电站;充电站,横水镇禾丰农牧有限公司(林州服务区)南侧170米,新能源重卡充电站,36.06165858900451,113.89157455885314,473,2,,15
B0MBBGVLPI,惠利充汽车充电站(恒风重卡1号站),汽车服务;充电站;充电站,横水镇德宁保温建材,新能源重卡充电站,36.06188154132081,113.89156051116944,480,3,,15
B0M6XUROK1,惠利充汽车充电站(恒风重卡站),汽车服务;充电站;充电站,横水镇德宁保温建材,新能源重卡充电站,36.06188154132081,113.89156051116944,480,4,,15
B0LR05M8IO,特来电汽车充电站(特来电安阳林州S226省道新能源重卡充电站),汽车服务;充电站;专用充电站,横水镇虎盟汽修,新能源重卡充电站,36.08046091871643,113.8960939920807,2207,5,,15
B0L1X1SJDH,新电途汽车充电站(林州市秒能快充集中式快速充电站有限公司),汽车服务;充电站;充电站,鲁班大道林丰汽修园园内,新能源重卡充电站,36.09962002914429,113.8762405848694,4713,6,,15
